NTA,boro,zip,address,phone,Additional information,Tag,Source
bk-05-145941,BROOKLYN,11208,3386 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145940,BROOKLYN,11208,3435 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145939,BROOKLYN,11208,3450 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145938,BROOKLYN,11208,3480 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145932,BROOKLYN,11207,62 PENNSYLVANIA AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145931,BROOKLYN,11207,2631 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145937,BROOKLYN,11207,2598 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145936,BROOKLYN,11207,22 GEORGIA AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145945,BROOKLYN,11207,2493 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-05-145944,BROOKLYN,11207,2460 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-16-145963,BROOKLYN,11233,2440 FULTON STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-16-145930,BROOKLYN,11233,41 Sackman Street,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-17-146003,BROOKLYN,11203,3723 CHURCH AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-17-145928,BROOKLYN,11203,3402 CHURCH AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-17-145927,BROOKLYN,11226,3121 CHURCH AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-17-145979,BROOKLYN,11226,2606 Snyder Avenue,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-14-145929,BROOKLYN,11226,43 SNYDER AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-14-145949,BROOKLYN,11226,9 SNYDER AVENUE,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
bk-01-146013,BROOKLYN,11249,115 NORTH 6 STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
,MANHATTAN,10037,Harlem Hospital South,,,wifi,Harlem
bx-03-146064,BRONX,10456,574 EAST 163 STREET,,"Tablet Internet -phone , Free 1 GB Wi-FI Service",wifi,LinkNYC - Citybridge
Governors Island,MANHATTAN,10004,Building 110 Rooftop,,Free - up to 5 mbs,wifi,Fiberless
